;sent:;received;sent_data;sent_timestamp;sent_packet;received_data;received_timestamp;received_packet;latency
287;20180516,23:36:58.764,sent packet '288';20180516,23:36:58.778,unicast message '32' received from 2D:C8;20180516;23:36:58.764;sent packet '288';20180516;23:36:58.778;unicast message '32' received from 2D:C8;14000000
288;20180516,23:36:59.761,sent packet '289';20180516,23:36:59.774,unicast message '33' received from 2D:C8;20180516;23:36:59.761;sent packet '289';20180516;23:36:59.774;unicast message '33' received from 2D:C8;13000000
289;20180516,23:37:00.757,sent packet '290';20180516,23:37:00.771,unicast message '34' received from 2D:C8;20180516;23:37:00.757;sent packet '290';20180516;23:37:00.771;unicast message '34' received from 2D:C8;14000000
290;20180516,23:37:01.754,sent packet '291';20180516,23:37:01.768,unicast message '35' received from 2D:C8;20180516;23:37:01.754;sent packet '291';20180516;23:37:01.768;unicast message '35' received from 2D:C8;14000000
291;20180516,23:37:02.750,sent packet '292';20180516,23:37:02.764,unicast message '36' received from 2D:C8;20180516;23:37:02.750;sent packet '292';20180516;23:37:02.764;unicast message '36' received from 2D:C8;14000000
292;20180516,23:37:03.746,sent packet '293';20180516,23:37:03.761,unicast message '37' received from 2D:C8;20180516;23:37:03.746;sent packet '293';20180516;23:37:03.761;unicast message '37' received from 2D:C8;15000000
293;20180516,23:37:04.743,sent packet '294';20180516,23:37:04.757,unicast message '38' received from 2D:C8;20180516;23:37:04.743;sent packet '294';20180516;23:37:04.757;unicast message '38' received from 2D:C8;14000000
294;20180516,23:37:05.740,sent packet '295';20180516,23:37:05.754,unicast message '39' received from 2D:C8;20180516;23:37:05.740;sent packet '295';20180516;23:37:05.754;unicast message '39' received from 2D:C8;14000000
295;20180516,23:37:06.737,sent packet '296';20180516,23:37:06.751,unicast message '40' received from 2D:C8;20180516;23:37:06.737;sent packet '296';20180516;23:37:06.751;unicast message '40' received from 2D:C8;14000000
296;20180516,23:37:07.733,sent packet '297';20180516,23:37:07.747,unicast message '41' received from 2D:C8;20180516;23:37:07.733;sent packet '297';20180516;23:37:07.747;unicast message '41' received from 2D:C8;14000000
297;20180516,23:37:08.730,sent packet '298';20180516,23:37:08.744,unicast message '42' received from 2D:C8;20180516;23:37:08.730;sent packet '298';20180516;23:37:08.744;unicast message '42' received from 2D:C8;14000000
298;20180516,23:37:09.726,sent packet '299';20180516,23:37:09.740,unicast message '43' received from 2D:C8;20180516;23:37:09.726;sent packet '299';20180516;23:37:09.740;unicast message '43' received from 2D:C8;14000000
299;20180516,23:37:10.722,sent packet '300';20180516,23:37:10.736,unicast message '44' received from 2D:C8;20180516;23:37:10.722;sent packet '300';20180516;23:37:10.736;unicast message '44' received from 2D:C8;14000000
