packet; cpu; lpm; IRQ; transmit; listen
282;238566;9320556;9706;75359;9130654
283;239395;9352495;9832;75626;9163147
284;240224;9384434;9958;75893;9195640
285;241054;9416373;10084;76160;9228133
286;241886;9448309;10210;76427;9260626
287;242718;9480245;10336;76694;9293119
288;243549;9512181;10462;76961;9325612
289;244381;9544117;10588;77228;9358105
290;245213;9576053;10714;77495;9390598
291;246045;9607989;10840;77762;9423091
292;246877;9639925;10966;78029;9455583
293;247709;9671861;11092;78296;9488075
294;248542;9703797;11218;78563;9520567
295;249374;9735733;11344;78830;9553059
296;250206;9767669;11470;79097;9585551
297;251037;9799605;11596;79364;9618043
298;251869;9831541;11722;79631;9650535
299;252701;9863477;11848;79898;9683027
300;253533;9895413;11974;80165;9715520
